comuna,actividad_comercial,total
15,Enseñanza privada y/o parroquiales en todos su niveles y formatos,160
15,"Farmacias, perfumer�as e insumos m�dicos",99
15,"Garages, estacionamientos pagos y lavaderos de auto",111
15,"Gimnasios, canchas de alquiler y yoga",61
15,"Hoteles, geri�tricos y alojamiento",42
15,"Indumentaria, accesorios, calzado y textiles",717
15,"Inmobiliarias y constructoras, administración de consorcios",128
15,Instrumentos musicales (venta),3
15,Juegos de azar,71
15,Jugueterías,15
15,Librerías (venta de libros y revistas),24
15,"Librerías comerciales, fotocopias y útiles, y artística",144
15,Local en 1º piso con accesoo / con marquesinas,70
15,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",39
15,Locutorios y servicios de Internet,10
15,Paseos de compras (puestos con estructura de metal),2
15,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",282
15,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",17
15,"Remises, fletes y mudanzas",48
15,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",139
15,Restaurantes y comidas,717
15,Salud privada,93
15,Sepelios y funerarias,15
15,Servicios profesionales y financieros,183
15,Tatuajes y Piercings,8
15,Telefonía fija y celular (venta de equipos y adicionales),14
15,Terminales de transporte de pasajeros en general (colectivos y marítimo),6
15,Tintorerías y lavaderos de ropa,111
15,Venta de alimentos y bebidas,909
15,Viveros y jardinería,21
15,ZZ - Otros negocios no contemplados anteriormente,69
2,Agencias de Seguros y ART,4
2,Agencias de turismo,21
2,"Artículos limpieza, artículos de embalaje y pañaleras",14
2,Art�culos para el hogar y construcci�n,423
2,"Autos, motos y servicios relacionados",25
2,"Bancos, financieras, tarjetas de crédito y casas de cambios",87
2,Centro de atención a clientes de telecomunicaciones,6
2,"Combustibles, estaciones de servicio",4
2,"Computación, juegos y consolas, películas, discos y CDs",28
2,Correos públicos y privados,5
2,Depósito con ventas web,5
2,Enseñanza privada y/o parroquiales en todos su niveles y formatos,100
2,"Farmacias, perfumer�as e insumos m�dicos",192
2,"Garages, estacionamientos pagos y lavaderos de auto",104
2,"Gimnasios, canchas de alquiler y yoga",48
2,"Hoteles, geri�tricos y alojamiento",94
2,"Indumentaria, accesorios, calzado y textiles",957
2,"Inmobiliarias y constructoras, administración de consorcios",137
2,Instrumentos musicales (venta),5
2,Juegos de azar,63
2,Jugueterías,22
2,Librerías (venta de libros y revistas),53
2,"Librerías comerciales, fotocopias y útiles, y artística",122
2,Local en 1º piso con accesoo / con marquesinas,69
2,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",14
2,Locutorios y servicios de Internet,7
2,Paseos de compras (puestos con estructura de metal),1
2,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",389
2,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",24
2,"Remises, fletes y mudanzas",2
2,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",128
2,Restaurantes y comidas,690
2,Salud privada,142
2,Sepelios y funerarias,5
2,Servicios profesionales y financieros,161
2,Tatuajes y Piercings,5
2,Telefonía fija y celular (venta de equipos y adicionales),52
2,Tintorerías y lavaderos de ropa,113
2,Venta de alimentos y bebidas,768
2,Viveros y jardinería,10
2,ZZ - Otros negocios no contemplados anteriormente,11
3,Agencias de Seguros y ART,7
3,Agencias de turismo,59
3,"Artículos limpieza, artículos de embalaje y pañaleras",75
3,Art�culos para el hogar y construcci�n,1105
3,"Autos, motos y servicios relacionados",167
3,"Bancos, financieras, tarjetas de crédito y casas de cambios",74
3,Centro de atención a clientes de telecomunicaciones,5
3,"Combustibles, estaciones de servicio",14
3,"Computación, juegos y consolas, películas, discos y CDs",76
3,Correos públicos y privados,17
3,Depósito con ventas web,28
3,Enseñanza privada y/o parroquiales en todos su niveles y formatos,136
3,"Farmacias, perfumer�as e insumos m�dicos",225
3,"Garages, estacionamientos pagos y lavaderos de auto",261
3,"Gimnasios, canchas de alquiler y yoga",36
3,"Hoteles, geri�tricos y alojamiento",273
3,"Indumentaria, accesorios, calzado y textiles",2469
3,"Inmobiliarias y constructoras, administración de consorcios",98
3,Instrumentos musicales (venta),1
3,Juegos de azar,105
3,Jugueterías,200
3,Librerías (venta de libros y revistas),57
3,"Librerías comerciales, fotocopias y útiles, y artística",253
3,Local en 1º piso con accesoo / con marquesinas,41
3,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",38
3,Locutorios y servicios de Internet,25
3,Paseos de compras (puestos con estructura de metal),27
3,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",353
3,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",35
3,"Remises, fletes y mudanzas",20
3,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",137
3,Restaurantes y comidas,853
3,Salud privada,140
3,Sepelios y funerarias,8
3,Servicios profesionales y financieros,198
3,Tatuajes y Piercings,4
3,Telefonía fija y celular (venta de equipos y adicionales),236
3,Terminales de transporte de pasajeros en general (colectivos y marítimo),4
3,Tintorerías y lavaderos de ropa,133
3,Venta de alimentos y bebidas,1076
3,Viveros y jardinería,16
3,ZZ - Otros negocios no contemplados anteriormente,35
4,Agencias de Seguros y ART,17
4,Agencias de turismo,2
4,"Artículos limpieza, artículos de embalaje y pañaleras",51
4,Art�culos para el hogar y construcci�n,414
4,"Autos, motos y servicios relacionados",496
4,"Bancos, financieras, tarjetas de crédito y casas de cambios",56
4,Centro de atención a clientes de telecomunicaciones,2
4,"Combustibles, estaciones de servicio",29
4,"Computación, juegos y consolas, películas, discos y CDs",25
4,Correos públicos y privados,18
4,Depósito con ventas web,23
4,Enseñanza privada y/o parroquiales en todos su niveles y formatos,87
4,"Farmacias, perfumer�as e insumos m�dicos",91
4,"Garages, estacionamientos pagos y lavaderos de auto",100
4,"Gimnasios, canchas de alquiler y yoga",17
4,"Hoteles, geri�tricos y alojamiento",45
4,"Indumentaria, accesorios, calzado y textiles",445
4,"Inmobiliarias y constructoras, administración de consorcios",85
4,Instrumentos musicales (venta),3
4,Juegos de azar,75
4,Jugueterías,16
4,Librerías (venta de libros y revistas),6
4,"Librerías comerciales, fotocopias y útiles, y artística",93
4,Local en 1º piso con accesoo / con marquesinas,116
4,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",14
4,Locutorios y servicios de Internet,9
4,Paseos de compras (puestos con estructura de metal),10
4,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",229
4,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",21
4,"Remises, fletes y mudanzas",41
4,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",97
4,Restaurantes y comidas,643
4,Salud privada,73
4,Sepelios y funerarias,11
4,Servicios profesionales y financieros,139
4,Tatuajes y Piercings,7
4,Telefonía fija y celular (venta de equipos y adicionales),27
4,Terminales de transporte de pasajeros en general (colectivos y marítimo),22
4,Tintorerías y lavaderos de ropa,44
4,Venta de alimentos y bebidas,865
4,Viveros y jardinería,7
4,ZZ - Otros negocios no contemplados anteriormente,21
5,Agencias de Seguros y ART,11
5,Agencias de turismo,9
5,"Artículos limpieza, artículos de embalaje y pañaleras",53
5,Art�culos para el hogar y construcci�n,412
5,"Autos, motos y servicios relacionados",258
5,"Bancos, financieras, tarjetas de crédito y casas de cambios",38
5,Centro de atención a clientes de telecomunicaciones,1
5,"Combustibles, estaciones de servicio",13
5,"Computación, juegos y consolas, películas, discos y CDs",36
5,Correos públicos y privados,5
5,Depósito con ventas web,18
5,Enseñanza privada y/o parroquiales en todos su niveles y formatos,135
5,"Farmacias, perfumer�as e insumos m�dicos",107
5,"Garages, estacionamientos pagos y lavaderos de auto",152
5,"Gimnasios, canchas de alquiler y yoga",35
